pname,jpname,lat,lon,category,label,Description,popularity
None,三十三間堂,135.771761565628,34.98802689,temple,"buddha,heritage","Sanjusangendo (三十三間堂, Sanjūsangendō) is the popular name for Rengeo-in, a temple in eastern Kyoto which is famous for its 1001 statues of Kannon, the goddess of mercy. The temple was founded in 1164 and rebuilt a century later after the original structure had been destroyed in a fire. Measuring 120 meters, the temple hall is Japan's longest wooden structure. The name Sanjusangendo (literally ""33 intervals"") derives from the number of intervals between the building's support columns, a traditional method of measuring the size of a building. In the center of the main hall sits a large, wooden statue of a 1000-armed Kannon (Senju Kannon) that is flanked on each side by 500 statues of human sized 1000-armed Kannon standing in ten rows. Together they make for an awesome sight.
For detail information: http://sanjusangendo.jp/",95
None,二年坂,135.780807393351,34.99851,street,souvenir,"Ninenzaka and Sannenzeka are kind of gentle and narrow sloping roads with flagstones and stone steps lined with traditional wooden storefronts, traditional shops, tea houses and restaurants offering Kyoto traditional items and food. Just take your morning time to visit these street to catch the most good natured moment when there is no crowd, no noise but an extremely silence like a charming girl. Here you can find about 60 shops and restaurants in which 32 ones are souvenir and specialty shops, 18 are restaurants and sweets shops. They sell traditional items like incense, chopsticks and fans, all are hand made. It is also a heaven of food with local pastries, green tea ice cream, mochi balls and baumkuchen cake. There are some special shops for visitors to experience tea ceremony or Maiko or Geisha make over.
For detail information: http://www.2nenzaka.ne.jp/EN/",73
None,龍安寺,135.718187101975,35.034248355,temple,"buddha,heritage","Ryoanji Temple (龍安寺, Ryōanji) is the site of Japan's most famous rock garden, which attracts hundreds of visitors every day. Originally an aristocrat's villa during the Heian Period, the site was converted into a Zen temple in 1450 and belongs to the Myoshinji school of the Rinzai sect of Zen Buddhism, whose head temple stands just a kilometer to the south.
For detail information: http://www.ryoanji.jp/smph/eng/",71
None,平安神宮,135.782488608195,35.01586285,jinja,"shinto,heritage,Jidai Matsuri","Heian Shrine (平安神宮, Heian Jingū) has a relatively short history, dating back just over a hundred years to 1895. The shrine was built on the occasion of the 1100th anniversary of the capital's foundation in Kyoto and is dedicated to the spirits of the first and last emperors who reigned from the city, Emperor Kammu (737-806) and Emperor Komei (1831-1867). Heian is the former name of Kyoto.
For detail information: http://www.heianjingu.or.jp/english/english.html",66
None,八坂神社,135.778265377396,35.00352849,jinja,"shinto,heritage","Yasaka Shrine (八坂神社, Yasaka Jinja), also known as Gion Shrine, is one of the most famous shrines in Kyoto. Founded over 1350 years ago, the shrine is located between the popular Gion District and Higashiyama District, and is often visited by tourists walking between the two districts. The shrine's main hall combines the honden (inner sanctuary) and haiden (offering hall) into a single building. In front of it stands a dance stage with hundreds of lanterns that get lit in the evenings. Each lantern bears the name of a local business in return for a donation.
For detail information: http://www.yasaka-jinja.or.jp/",65
None,嵐山駅前,135.67739947598,35.014915,station,station,"Hankyu Arashiyama Station is a very convenient station from which tourists can visit major sightseeing spots on foot, including Togetsukyo Bridge, Tenryuji Temple, and Arashiyama Monkey Park. The station is equipped with lattices, depicts a traditional townhouse in Kyoto, and is popular with visitors from around Japan and other countries. The square in front of the station is lit up in spring and fall to highlight cherry blossoms and colored leaves depending on the season. When you visit Arashiyama, enjoy the colorful views of Hankyu Arashiyama Station, which vary by time zone and season, in addition to your destinations.
For detail information: hankyu.co.jp/global/en/characteristic/arashiyama/index.html",64
None,銀閣寺参道,135.796169930556,35.0272,street,souvenir,,62
None,きぬかけの路,135.716681052632,35.03144,avenue,walk,"""Kinukake no Michi"" is a tourist road with a total length of about 2.5km that goes around three World Heritage Sites . About 18 minutes walk from Kinkakuji Temple to Ryoanji Temple. About 11 minutes walk from Ryoanji Temple to Ninnaji Temple. Lush route passing the Kinugasa foothills is also ideal for exploring on foot, from the front Ninna-ji Temple storm power
For detail information: https://kinukake.com/",61
None,京都御苑,135.76159,35.02532,garden,Plum blossom,"Kyoto Gyoen is the national garden, which is 1.3km from north to south and 0.7km from east to west. It is open to everyone anytime. This area was Court Nobles Residential Area in the Edo period. After the transfer of the capital to Tokyo, buildings were removed and Kyoto Gyoen (garden) was established to preserve the Imperial Palace. After The World War ･U, Kyoto Gyoen was changed to be a national garden. Today, there are famous historic spots in this garden including Kyoto Imperial Palace. Also it becomes the place where people could spend their time in nature.
For detail information: https://fng.or.jp/kyoto/",58
None,河原町通,135.769037470588,35.00778,street,shopping,"Kawaramachi Street (河原町通, Kawaramachi-dōri) runs parallel to the west bank of the Kamo River on the eastern side of Kyoto, Japan. Its intersection with Shijō Street is called Shijō Kawaramachi and is a leading shopping district of the city. Both Shijō and Kawaramachi Street are protected with smoking bans.
For detail information: https://www.kyoto-kawaramachi.or.jp/english/",51
None,京都御所,135.765337316173,35.02545,palace,"imperial,heritage","The Kyoto Imperial Palace (京都御所, Kyōto Gosho) used to be the residence of Japan's Imperial Family until 1868, when the emperor and capital were moved from Kyoto to Tokyo. It is located in the spacious Kyoto Imperial Park (京都御苑, Kyōto Gyoen), an attractive park in the center of the city that also encompasses the Sento Imperial Palace and a few other attractions.
For detail information: https://sankan.kunaicho.go.jp/english/guide/kyoto.html",46
None,竹林の小径,135.671954166667,35.017155,street,bamboo,"Located about 7km west of downtown Kyoto, Arashiyama is one of Kyoto’s most popular sightseeing districts. The heart of the district is the Arashiyama Bamboo Grove, a mesmerizing grove of thousands of tall bamboo plants. A paved walkway runs through the middle of both sections, forming the famous “Bamboo Alley,” one of Kyoto’s most photographed sights.
For detail information: https://www.insidekyoto.com/arashiyama-bamboo-grove-guide-walking-tour",46
None,錦市場商店街,135.763254787879,35.00501,street,shopping,"Nishiki Market (錦市場, Nishiki Ichiba) is a narrow, five block long shopping street lined by more than one hundred shops and restaurants. Known as ""Kyoto's Kitchen"", this lively retail market specializes in all things food related, like fresh seafood, produce, knives and cookware, and is a great place to find seasonal foods and Kyoto specialties, such as Japanese sweets, pickles, dried seafood and sushi.
For detail information: https://www.japan-guide.com/e/e3931.html",46
None,白峯神宮,135.753104916667,35.030095,jinja,shinto,"Shiramine Shrine (白峯神宮, Shiramine jingū) is a Shinto Shrine in Kamigyō-ku, Kyoto. The Shrine is dedicated to the veneration of the kami of Emperor Junnin[1] and Emperor Sutoku. Annually in mid–September two Noh performances are held at the Shiramine Shrine in memory of Emperor Sutoku. Shiramine is also home to the deity Seidai Myojin who is popularly known as the god of sports, and especially soccer. The lucky charm(叶う輪 Kanauwa) of Shiramine Shrine is very popular to worshipers. Kanauwa is Lucky charm of sports.
For detail information: http://shiraminejingu.or.jp/english/",44
None,天龍寺,135.674746332935,35.01577938,temple,"buddha,heritage,maple,sakura","Tenryuji (天龍寺, Tenryūji) is the most important temple in Kyoto's Arashiyama district. It was ranked first among the city's five great Zen temples, and is now registered as a world heritage site. Tenryuji is the head temple of its own school within the Rinzai Zen sect of Japanese Buddhism. Tenryuji was built in 1339 by the ruling shogun Ashikaga Takauji. Takauji dedicated the temple to Emperor Go-Daigo, who had just passed away. The two important historic figures used to be allies until Takauji turned against the emperor in a struggle for supremacy over Japan.
For detail information: http://www.tenryuji.com/en/",41
None,北野天満宮,135.735021223602,35.03048944,jinja,"shinto,heritage,plum blossom","Kitano Tenmangu Shrine (北野天満宮, Kitano Tenmangū) is one of the most important of several hundred shrines across Japan that are dedicated to Sugawara Michizane, a scholar and politician who was unfairly exiled by his political rivals. A number of disasters were attributed to Michizane's vengeful spirit after his death in exile, and these shrines were built to appease him.
For detail information: https://kitanotenmangu.or.jp/top_en.php?mode=pc",39
None,仁和寺,135.714070942927,35.03019404,temple,"buddha,heritage,sakura","Ninnaji (仁和寺) is one of the many great temples in Kyoto which are listed as World Heritage Sites. It is the head temple of the Omuro School of the Shingon sect of Buddhism and was founded in 888 by the reigning emperor. Over many centuries, a member of the Imperial Family used to serve as Ninnaji's head priest, and the temple was also known as Omuro Imperial Palace.
For detail information: http://www.ninnaji.jp/en/",39
None,円山公園,135.781894670534,35.0035,park,sakura,"Maruyama Park (円山公園, Maruyama Kōen) is a public park next to Yasaka Shrine in the Higashiyama District. In the first half of April, when the cherry trees are in full bloom, the park becomes Kyoto's most popular and most crowded spot for cherry blossom viewing parties (hanami). The centerpiece of the park is a tall shidarezakura (weeping cherry tree), which gets lit up in the night.
For detail information: https://maruyamapark.jp/?page_id=13868",37
None,東寺,135.747699367967,34.980871645,temple,"buddha,heritage","Toji Temple (東寺, Tōji), literally ""East Temple"", was founded at the beginning of the Heian Period just after the capital was moved to Kyoto in the late 700s. The large temple, together with its now defunct sister temple Saiji (""West Temple""), flanked the south entrance to the city and served as the capital's guardian temples. Toji Temple is one of Kyoto's many UNESCO world heritage sites.
For detail information: http://www.toji.or.jp/en/",32
None,京都タワー,135.759313305981,34.98753136,tower,souvenir,"Standing 131 meters tall just across from Kyoto Station, Kyoto Tower (京都タワー) is Kyoto's tallest structure and a rare modern iconic landmark in the city famous for its ancient temples and shrines. The tower was completed in 1964, the same year as the opening of the shinkansen and the Tokyo Olympics. A viewing platform is located 100 meters above ground and affords a 360 degree view of Kyoto and as far as Osaka on clear days. Kyoto Tower stands on top of a typical commercial building, which contains souvenir shops, restaurants and a hotel, as well as a public bath in the basement.
For detail information: https://www.kyotostation.com/kyoto-tower/",31
None,四条烏丸,135.75958,35.003765,street,shopping,"The eastern end of the street is Yasaka Shrine and the western end is Matsunoo Shrine. The street is particularly busy with pedestrians and traffic from the east end to Karasuma Street. The east end passes through the courtesan's district of Gion, with the historic street of Hanami Lane branching off to the south, with the famous Ichiriki Chaya at the corner. It then crosses the Kamo River at Shijō Bridge, and from there to Karasuma Street (Shijō Karasuma) the sidewalk is covered (except at major streets) and features several department stores, such as Daimaru and Marui. The center of this area is the intersection with Kawaramachi Street (Shijō Kawaramachi), a very busy shopping area.
For detail information: https://kyoto-option.com/english/shop/shijo/",30
None,南禅寺,135.792619693347,35.01054774,temple,"buddha,heritage","Nanzenji Temple (南禅寺), whose spacious grounds are located at the base of Kyoto's forested Higashiyama mountains, is one of the most important Zen temples in all of Japan. It is the head temple of one of the schools within the Rinzai sect of Japanese Zen Buddhism and includes multiple subtemples, that make the already large complex of temple buildings even larger.
For detail information: http://www.nanzen.net/english/",30
None,銀閣寺前白川疏水通,135.79386535,35.027495,street,sakura,"If you’re interested in getting to know the Gion district better, joining a short walking tour is a good way to do so. Many Gion walking tours start in the evening, when the area comes to life. The tours take you through the scenic streets by the Shirakawa canal. And along the way, the guide will tell you all about geisha, their traditional rules, and daily life.",29
None,稲荷山,135.782278025078,34.967165,mountain,mountain,"Standing at 233m above sea level, the holy mountain of Inariyama is the southernmost of the 36 peaks of Higashiyama. It is also called Mitsugamine (Three Peaks) for its three peaks in an east-to-west row – a sight that truly befits Inariyama’s status as a sacred site. From the closest peak to the shrine, the peaks are called Sannomine, Ninomine, and Ichinomine (Third Peak, Second Peak and First Peak). There is a hill called Ainomine between Sannomine and Ninomine, and another called Kojingamine to the north of Sannomine. There are many worshiping stones engraved with deities’ names (otsuka) on the mountain, and a pathway leads to the top with several thousand red torii gateways along the way.
For detail information: http://inari.jp/en/map/spot_01/",29
None,哲学の道,135.794164968619,35.020915,street,"souvenir,sukura","The Philosopher's Path (哲学の道, Tetsugaku no michi) is a pleasant stone path through the northern part of Kyoto's Higashiyama district. The path follows a canal which is lined by hundreds of cherry trees. Usually in early April these trees explode with color, making this one of the city's most popular hanami (cherry blossom viewing) spots. Approximately two kilometers long, the path begins around Ginkakuji (Silver Pavilion) and ends in the neighborhood of Nanzenji. The path gets its name due to Nishida Kitaro, one of Japan's most famous philosophers, who was said to practice meditation while walking this route on his daily commute to Kyoto University.
For detail information: http://www.kyototourism.org/en/sightseeing-info/35.html",29
None,聖護院,135.780848923247,35.019098545,temple,buddha,"Shōgoin is said to have been founded by the ascetic priest Zōyo (1032–1116), who was gifted with a temple for his service as guide to the retired emperor Shirakawa on a pilgrimage to the Kumano Sanzan shrine complex in 1090. Zōyo named the temple Shōgoin, which means “Protector of the Emperor.” Thereafter, members of the imperial family and related nobility served for generations as the head priests of Shōgoin, right up to the Meiji period (1868–1912). When the imperial palace in Kyoto was ravaged by the Great Tenmei Fire in 1788, the Emperor Kōkaku （r. 1780–1817） took up temporary residence in Shōgoin.
For detail information: https://www.nippon.com/en/guide-to-japan/gu900053/",28
None,知恩院,135.783733489568,35.005499215,temple,"buddha,hritage","Chionin (知恩院) is the head temple of the Jodo sect of Japanese Buddhism, which has millions of followers and is one of the most popular Buddhist sects in Japan. The temple has spacious grounds and large buildings. Visitors will surely notice the temple when they come across its massive Sanmon Gate. The Sanmon Gate, Chionin's main entrance gate, is located alongside the road between Maruyama Park and Shorenin Temple. Standing 24 meters tall and 50 meters wide, it is the largest wooden gate in Japan and dates back to the early 1600s. The gate's balcony is not open to the public. Behind the gate a wide set of stairs leads to the main temple grounds.
For detail information: https://www.chion-in.or.jp/en/",26
None,西本願寺,135.751034822123,34.991799835,temple,"buddha,hritage","Nishi Honganji (西本願寺) and Higashi Honganji (東本願寺) are two large temples in the center of Kyoto. As headquarters of the two factions of the Jodo-Shin Sect (True Pure Land Sect), one of Japan's largest Buddhist sects, they are a good place to experience contemporary Japanese Buddhism.
For detail information: https://www.japan-guide.com/e/e3920.html",25
None,嵐山公園 臨川寺地区,135.679170247326,35.013705,park,maple,"It is a prefectural city park that extends upstream and downstream of the Katsura River across the Togetsukyo Bridge, and covers an area of ​​10.6 hectares. It consists of three districts: the Kameyama district on the upstream left bank, which was opened in the late Meiji era, the Nakanoshima district on the clear stream sandbank, and the Rinkawaji district on the downstream left bank, which was opened in the Showa era. It is one of the most scenic spots in the prefecture, and tourists never cease throughout the four seasons.
For detail information: https://www.hisour.com/sagano-and-arashiyama-area-kyoto-sightseeing-route-japan-59207/",25
None,東本願寺,135.758382065597,34.991578985,temple,"huddha,hritage","Higashi Honganji, or “Eastern Temple of the First Vow” is one of two head temples of the Jodo Shinshu sect of Pure Land Buddhism, the most popular form of Buddhism in Japan. The other head temple is Nishi Honganji, the western temple, which true to its name is located a few blocks to the west of this one. This Pure Land sect was founded by a monk named Shinran (1173–1263), who simplified Buddhist thought to one essential teaching: all you need to do is repeat the words “namu amida butsu” or “Praise to Amida Buddha”.
For detail information: http://www.higashihonganji.or.jp/english_top/",25
None,嵐山公園 中之島地区,135.678227772727,35.012005,park,maple,"Arashiyama Park is a prefectural park spanning three districts: the Kameoka district on the upstream north bank of the Katsura River (the Oi River and the Hodzu River), the Nakanoshima district located downstream from the Togetsu Bridge on the south bank of the river, and the Rinsenji district downstream from the bridge on the northern bank. The park is especially popular with people living in the Nakanoshima district and many visitors flock to the park during the cherry blossom season for recreation and relaxation. From here, you can view both Mt. Arashiyama and the Togetsu Bridge, making this an ideal spot for photographs.
For detail information: https://micro.rohm.com/en/rohm-saijiki/arashiyama/closeup/closeup_02.html",23
None,渡月橋,135.677938744134,35.01297,park,maple，sukura,"The Togetsukyo Bridge is Arashiyama's well known, central landmark. Many small shops, restaurants and other attractions are found nearby, including Tenryuji Temple, Arashiyama's famous bamboo groves and pleasure boats that are available for rent on the river.
For detail information: https://www.japan-guide.com/e/e3912.html",22
None,高台寺,135.781653478205,35.000895295,temple,buddha,"Kodaiji (高台寺, Kōdaiji) is an outstanding temple in Kyoto's Higashiyama District. It was established in 1606 in memory of Toyotomi Hideyoshi, one of Japan's greatest historical figures, by Hideyoshi's wife Nene who is also enshrined at the temple. Kodaiji belongs to the Rinzai sect of Zen Buddhism. Its main buildings were constructed in the lavish style of the era of Japan's unification with the financial support of Hideyoshi's successor Tokugawa Ieyasu. They feature richly decorated interiors and are surrounded by beautiful Zen gardens.
For detail information: https://www.kodaiji.com/e_index.html",20
None,太秦映画村,135.708326112889,35.016323065,park,"film,Edo","The Toei Uzumasa Eigamura (東映太秦映画村, Tōei Uzumasa Eigamura; also known as Kyoto Studio Park or Movie Land) is a film set and theme park in one. Essentially a small town from the Edo Period, the park features a collection of various traditional buildings which are occasionally used as a backdrop for filming historical movies and television dramas.
For detail information: http://www.toei-eigamura.com/global/en/",19
None,岡崎公園,135.78314529661,35.01425,park,sakura,"Okazaki Park was established on the former site of National Industrial Exhibition in 1895. The park is not just about the outdoor activities; it is also a cultural hub and you can find an art museum, a library, the ROHM Theatre Kyoto, and a zoo here. In spring, the Okazaki Cherry Blossom Corridor, as it is called, blooms in a spectacular display of pink along the canal. You can get on the boat operating along the canal to enjoy the blossoms.
For detail information: https://kyoto-okazaki.jp/en/",18
None,嵐山公園 亀山地区,135.671413944827,35.014545,park,maple，sukura,"Few foreign tourists every make it to Arashiyama’s Kameyama-koen Park, which is a shame, since it’s one of the nicest parts of the area and it is a brilliant refuge from the crowds that plague the rest of Arashiyama during busy seasons. You can reach it by two ways from the main street of Arashiyama (the one that runs in front of Keifuku Arashiyama Station and Tenryu-ji Temple).
For detail information: https://www.insidekyoto.com/kameyama-koen-park",15
None,東福寺,135.774575820214,34.97724984,temple,"buddha,heritage,mapple","Tofukuji (東福寺, Tōfukuji) is a large Zen temple in southeastern Kyoto that is particularly famous for its spectacular autumn colors. The temple was founded in 1236 at the behest of the powerful Fujiwara clan. Its name is a combination of the names of two great temples in Nara that were also associated with the Fujiwara, Todaiji Temple and Kofukuji Temple. Tofukuji has historically been one of the principal Zen temples in Kyoto, and is a head temple of one of the schools of the Rinzai sect of Zen Buddhism.
For detail information: http://www.tofukuji.jp/english/",15
None,京都大学,135.781682753623,35.02784,university,university,"Kyoto University (京都大学, Kyōto daigaku), or Kyodai (京大, Kyōdai) is a national university located in Kyoto, Japan. It is the second oldest university in Japan and one of the former Imperial Universities,[5] a Designated National University, and was selected as a Top Type university of the Top Global University Project by the Japanese government. The university is usually ranked amongst the top two in Japan, the top 10 in Asia, and the world's top thirty institutions of higher education. It is also the birthplace of the well-known Kyoto School of philosophy.
For detail information: https://www.kyoto-u.ac.jp/en",15
None,花見小路,135.774826536458,35.00242,street,sakura,"In recent years “geisha spotting” has become all too popular in Kyoto and we can sympathize with locals who don’t take kindly to groups of foreigners milling around outside their establishment and hassling geisha who are in a hurry to get to appointments. A few rowdier sorts have even gone as far as grabbing geisha by their kimono to stop them for pictures, and even putting their arms around their shoulders, as though they were posing with old friends. Needless to say, this gives all foreigners a bad name.
For detail information: https://www.japanhoppers.com/en/kansai/kyoto/kanko/837/",14
None,建仁寺,135.773748819477,35.000198805,temple,buddha,"Kenninji (建仁寺) is a Zen temple located just south of Kyoto's famous Gion geisha district. The temple serves as one of the head temples of the Rinzai Sect of Japanese Buddhism, and is ranked third among the five great Zen temples of Kyoto. Kenninji was founded by Eisai (also known as Yosai), the Buddhist monk who introduced both Zen Buddhism and tea cultivation to Japan upon returning from study trips to China. The temple was constructed in 1202 and is considered to be the oldest Zen temple in Kyoto.
For detail information: https://www.kenninji.jp/english/",13
None,晴明神社,135.751227884615,35.027755,jinja,shinto,"The Seimei Shrine was founded on the 4th year of the Kankō era (1007) by Emperor Ichijō, who ordered the shrine built in memory of Abe no Seimei, after his death in 1005. It was constructed on the site of Abe no Seimei's house. The main building was restored in 1925.
For detail information: https://japan-trip-guide.com/introduce/seimei-shrine",13
None,下鴨神社,135.772483288863,35.03707374,jinja,shinto,"The Kamo Shrines, Shimogamo Shrine and Kamigamo Shrine, are both recognized as UNESCO World Heritage Sites. They are two of the most important and oldest shrines in Kyoto. In fact, the Kamo Shrines even predate the city's establishment as national capital in 794. Throughout the thousand years that Kyoto served as Japan's capital city, the Imperial Court patronized the shrines as establishments dedicated to the city's protection and prosperity.
For detail information: https://www.shimogamo-jinja.or.jp/english/",13
None,大鳥居,135.782657708333,35.012435,station,station,"Named after the giant otorii shrine gate that sat along the way from Anamori Inari Shrine to Inaribashi Bridge, the station was established over one hundred years ago in 1902. Walking into the station, it's hard not to notice the large historical relief plaque showing the torii gate as it was back then; a nice glimpse into a relatively recent, yet distant enough, past.
For detail information: https://en.japantravel.com/blog/otorii-station-and-surrounds/61619",13
None,鴨川,135.771562624224,35.017155,river,sakura,"The Kamo River (鴨川, Kamo-gawa, duck river – see onomastics) is located in Kyoto Prefecture, Japan. The riverbanks are popular walking spots for residents and tourists. In summer, restaurants open balconies looking out to the river. There are pathways running alongside the river on which one can walk along the river, and some stepping stones that cross the river. The water level of the river is usually relatively low; less than one meter in most places. During the rainy season, however, the pathways sometimes flood in their lower stretches.
For detail information: https://en.japantravel.com/kyoto/a-walk-along-kamo-river/29194",13
None,青蓮院,135.783806324266,35.007586325,temple,buddha,"Shorenin (青蓮院, Shōrenin) is a temple of the Tendai sect of Japanese Buddhism located at the foot of Kyoto's Higashiyama mountains. It is one of the city's monzeki temples, which are temples whose head priests were traditionally members of the imperial family. A winding route takes visitors through Shorenin's various temple buildings and gardens.
For detail information: http://www.shorenin.com/english/",12
None,ねねの道,135.77990984375,35.000555,street,walk,"Nene no Michi (The Path of Nene, pictured below) is one of the reasons to make the trip to Kyoto. Located in Higashiyama Ward, along one of the main tourist corridors in eastern Kyoto, Nene no Michi retains the look of a Kyoto that for the most part no longer exists.
For detail information: https://www.japanvisitor.com/kyoto/kyoto-districts/nene-no-michi",12
None,お茶の井,135.799072896552,35.02693,shop,tea,,12
None,先斗町,135.771015,35.00642,street,"geiko,shopping","Pontocho (先斗町, Pontochō) is one of Kyoto's most atmospheric dining areas. It is a narrow alley running from Shijo-dori to Sanjo-dori, one block west of Kamogawa River. The alley is packed with restaurants on both sides offering a wide range of dining options from inexpensive yakitori to traditional and modern Kyoto cuisine, foreign cuisine and highly exclusive establishments that require the right connections and a fat wallet.
For detail information: https://www.japan-guide.com/e/e3921.html",11
None,本能寺,135.768183367783,35.010297295,temple,remains,"This is the head temple of the Honmon school of the Hokke sect, and is famous as the temple where Nobunaga Oda was attacked by Mitsuhide Akechi and his troops, forcing Nobunaga to commit suicide. Back then, the temple was located further west on Shijo-Nishi-Toin, but it was burnt down in Mitsuhide's attack. Reconstruction on the original site did start, but Hideyoshi Toyotomi (a leader loyal to Nobunaga) decreed that it be reconstructed on its present site. In the grounds, there is a tower commemorating Nobunaga, his loyal servant Ranmaru Mori and others.
For detail information: https://www.honnoji.co.jp/en/history/",11
None,大徳寺,135.744718253902,35.04324576,temple,"buddha,heritage","Daitokuji (大徳寺) is a large walled temple complex in northern Kyoto and the head temple of the Rinzai sect's Daitokuji school of Japanese Zen Buddhism. The complex consists of nearly two dozen subtemples and is one of the best places in Japan to see a wide variety of Zen gardens and to experience Zen culture and architecture.
For detail information: https://www.japan-guide.com/e/e3910.html",10
None,嵐山モンキーパーク,135.675088573415,35.009805,park,monkey,"Located on the highlands not too far from Arashiyama Station is a special place in Japan where creatures welcome curious visitors: Iwatayama Monkey Park. Here you can find wild Japanese macaque monkeys—which are often seen on popular travel guides and brochures taking a restful dip in onsen during winter. At Iwatayama you can see them fully active, running and swinging around the park.
For detail information: https://www.kyoto-museums.jp/en/museum/west/3851/",10
